Date,Devin Booker,Zach LaVine,Ja Morant,DeMar DeRozan,Karl-Anthony Towns,Trae Young,Bradley Beal,LeBron James,Stephen Curry,Kevin Durant,Anthony Davis,Joel Embiid,Domantas Sabonis,Jayson Tatum,Paul George,Miles Bridges,Luka Doncic,Nikola Jokic,Malcolm Brogdon,Donovan Mitchell,Brandon Ingram,Giannis Antetokounmpo
Week 2021-10-18,55.0,102.0,105.0,90.0,87.0,75.0,42.0,78.0,93.0,124.0,77.0,63.0,99.0,110.0,84.0,100.0,45.0,83.0,99.0,43.0,108.0,98.0
Week 2021-10-25,113.0,179.0,198.0,179.0,149.0,160.0,146.0,119.0,172.0,194.0,173.0,126.0,170.0,180.0,170.0,185.0,135.0,167.0,117.0,138.0,150.0,191.0
Week 2021-11-01,214.0,262.0,260.0,269.0,212.0,261.0,218.0,149.0,276.0,324.0,263.0,193.0,212.0,236.0,243.0,267.0,249.0,254.0,134.0,232.0,150.0,273.0
Week 2021-11-08,298.0,363.0,362.0,377.0,301.0,383.0,233.0,149.0,365.0,415.0,363.0,193.0,277.0,329.0,344.0,323.0,324.0,339.0,224.0,307.0,200.0,345.0
Week 2021-11-15,381.0,467.0,433.0,474.0,397.0,450.0,326.0,182.0,454.0,484.0,442.0,193.0,341.0,463.0,449.0,395.0,324.0,369.0,292.0,384.0,257.0,457.0
Week 2021-11-22,478.0,557.0,458.0,570.0,493.0,545.0,413.0,284.0,544.0,544.0,509.0,251.0,398.0,510.0,544.0,455.0,408.0,393.0,372.0,464.0,342.0,540.0
Week 2021-11-29,488.0,647.0,458.0,633.0,558.0,657.0,494.0,307.0,637.0,629.0,561.0,335.0,464.0,604.0,599.0,525.0,457.0,460.0,430.0,533.0,435.0,607.0
Week 2021-12-06,488.0,703.0,458.0,633.0,624.0,729.0,559.0,420.0,703.0,735.0,600.0,412.0,539.0,733.0,599.0,575.0,538.0,584.0,481.0,619.0,504.0,703.0
Week 2021-12-13,504.0,703.0,474.0,697.0,708.0,791.0,652.0,493.0,785.0,803.0,629.0,502.0,567.0,802.0,624.0,655.0,538.0,631.0,493.0,726.0,560.0,703.0
Week 2021-12-20,601.0,765.0,546.0,756.0,734.0,820.0,652.0,602.0,864.0,803.0,629.0,561.0,593.0,845.0,641.0,671.0,538.0,699.0,494.0,787.0,619.0,739.0
Week 2021-12-27,685.0,869.0,653.0,861.0,734.0,937.0,743.0,740.0,924.0,890.0,629.0,662.0,664.0,845.0,641.0,704.0,573.0,772.0,494.0,875.0,629.0,866.0
Week 2022-01-03,755.0,916.0,717.0,896.0,810.0,981.0,816.0,838.0,966.0,1014.0,629.0,755.0,764.0,943.0,641.0,761.0,621.0,853.0,494.0,959.0,699.0,966.0
Week 2022-01-10,884.0,948.0,806.0,999.0,887.0,1079.0,829.0,922.0,1024.0,1053.0,629.0,875.0,814.0,1046.0,641.0,840.0,712.0,936.0,500.0,1020.0,793.0,1053.0
Week 2022-01-17,956.0,971.0,912.0,1105.0,947.0,1174.0,896.0,1014.0,1116.0,1053.0,629.0,1003.0,834.0,1136.0,641.0,903.0,818.0,1045.0,519.0,1020.0,808.0,1116.0
Week 2022-01-24,1056.0,1044.0,1054.0,1189.0,1049.0,1248.0,928.0,1047.0,1222.0,1053.0,695.0,1107.0,879.0,1250.0,641.0,991.0,922.0,1146.0,519.0,1020.0,808.0,1209.0
Week 2022-01-31,1172.0,1117.0,1110.0,1360.0,1118.0,1330.0,928.0,1076.0,1260.0,1053.0,783.0,1201.0,888.0,1308.0,641.0,1049.0,1013.0,1219.0,519.0,1079.0,890.0,1299.0
Week 2022-02-07,1250.0,1156.0,1189.0,1509.0,1206.0,1412.0,928.0,1159.0,1368.0,1053.0,838.0,1300.0,935.0,1389.0,641.0,1104.0,1142.0,1317.0,519.0,1147.0,963.0,1361.0
Week 2022-02-14,1300.0,1156.0,1233.0,1547.0,1269.0,1475.0,928.0,1192.0,1393.0,1053.0,855.0,1361.0,957.0,1439.0,641.0,1161.0,1212.0,1352.0,519.0,1184.0,993.0,1443.0
Week 2022-02-21,1385.0,1226.0,1351.0,1633.0,1333.0,1530.0,928.0,1245.0,1438.0,1053.0,855.0,1432.0,1018.0,1519.0,641.0,1215.0,1269.0,1403.0,554.0,1243.0,1040.0,1498.0
Week 2022-02-28,1385.0,1302.0,1436.0,1707.0,1455.0,1639.0,928.0,1353.0,1523.0,1121.0,855.0,1546.0,1079.0,1643.0,641.0,1242.0,1370.0,1503.0,638.0,1335.0,1140.0,1579.0
Week 2022-03-07,1460.0,1354.0,1514.0,1789.0,1564.0,1786.0,928.0,1487.0,1627.0,1213.0,855.0,1642.0,1101.0,1739.0,641.0,1342.0,1457.0,1612.0,650.0,1429.0,1140.0,1722.0
Week 2022-03-14,1582.0,1425.0,1543.0,1859.0,1641.0,1816.0,928.0,1618.0,1630.0,1330.0,855.0,1730.0,1171.0,1863.0,641.0,1399.0,1563.0,1696.0,687.0,1532.0,1140.0,1758.0
Week 2022-03-21,1694.0,1537.0,1543.0,1937.0,1695.0,1929.0,928.0,1657.0,1630.0,1415.0,855.0,1824.0,1171.0,1923.0,641.0,1491.0,1619.0,1815.0,687.0,1607.0,1166.0,1813.0
Week 2022-03-28,1757.0,1605.0,1543.0,2045.0,1771.0,2036.0,928.0,1695.0,1630.0,1537.0,906.0,1963.0,1171.0,1999.0,712.0,1542.0,1756.0,1928.0,687.0,1695.0,1229.0,1925.0
Week 2022-04-04,1822.0,1635.0,1564.0,2118.0,1818.0,2155.0,928.0,1695.0,1630.0,1643.0,927.0,2079.0,1171.0,2046.0,754.0,1613.0,1847.0,2004.0,687.0,1733.0,1246.0,2002.0
