week,J.Robinson,D.Harris,C.Edmonds,A.Kamara,A.Ekeler,C.McCaffrey,E.Mitchell,N.Harris,A.Gibson,N.Chubb,L.Fournette,T.Pollard,J.Mixon,J.Taylor,D.Montgomery,D.Cook,A.Jones,D.Henry,C.Carson,T.Williams,E.Elliott,D.Henderson,D.Singletary,M.Ingram,M.Gordon,C.Edwards-Helaire
Week 1,25.0,100.0,63.0,83.0,57.0,98.0,104.0,45.0,90.0,83.0,32.0,14.0,127.0,56.0,108.0,61.0,9.0,58.0,91.0,65.0,33.0,70.0,72.0,85.0,101.0,43.0
Week 2,72.0,131.5,109.0,88.0,113.0,170.0,146.0,83.0,159.0,178.0,84.0,123.0,196.0,83.0,169.0,192.0,76.0,240.0,122.0,142.0,104.0,123.0,154.0,126.0,132.0,89.0
Week 3,160.0,145.5,135.0,177.0,168.0,201.0,146.0,123.0,190.0,262.0,92.0,183.0,286.0,116.0,203.0,192.0,158.0,355.0,202.0,164.0,199.0,123.0,180.0,147.0,192.0,189.0
Week 4,238.0,141.5,255.0,297.0,285.0,201.0,146.0,185.0,253.0,362.0,184.0,250.0,353.0,167.5,309.0,226.0,206.0,512.0,232.0,164.0,342.0,212.0,259.0,171.0,248.0,291.0
Week 5,387.0,199.5,270.0,368.0,351.0,201.0,189.0,307.0,313.0,523.0,251.0,325.0,386.0,220.5,309.0,226.0,309.0,642.0,232.0,170.0,452.0,294.0,284.0,212.0,282.0,304.0
Week 6,460.0,300.5,316.0,368.0,358.0,201.0,189.0,388.0,357.0,523.0,332.0,366.0,480.0,365.5,309.0,366.0,385.0,785.0,232.0,183.0,521.0,372.0,311.0,285.0,332.0,304.0
Week 7,460.0,406.5,397.0,419.0,358.0,201.0,296.0,388.0,408.0,523.0,413.0,366.0,539.0,429.5,309.0,366.0,404.0,871.0,232.0,193.0,521.0,417.0,311.0,294.0,350.0,304.0
Week 8,482.0,457.5,427.0,480.0,422.0,201.0,433.0,479.0,442.0,584.0,439.0,392.0,572.0,499.5,309.0,444.0,463.0,939.0,232.0,193.0,571.0,507.0,339.0,321.0,397.0,304.0
Week 9,482.0,487.5,430.0,530.0,481.0,253.0,469.0,541.0,442.0,721.0,439.0,403.0,636.0,671.5,372.0,554.0,516.0,939.0,232.0,193.0,624.0,562.0,355.0,364.0,477.0,304.0
Week 10,539.0,493.5,430.0,530.0,525.0,348.0,560.0,646.0,506.0,721.0,486.0,445.0,636.0,735.0,372.0,648.0,541.0,939.0,232.0,193.0,667.0,593.0,398.0,411.0,522.0,304.0
Week 11,568.0,549.5,430.0,530.0,575.0,407.0,560.0,685.0,601.0,851.0,521.0,495.0,759.0,920.0,430.0,736.0,541.0,939.0,232.0,193.0,699.0,593.0,415.0,499.0,522.0,367.0
Week 12,654.0,589.5,430.0,530.0,606.0,442.0,693.0,708.0,714.0,867.0,621.0,531.0,924.0,1003.0,476.0,775.0,564.0,939.0,232.0,194.0,724.0,648.0,459.0,499.0,605.0,367.0
Week 13,678.0,646.5,430.0,530.0,665.0,442.0,759.0,779.0,802.0,867.0,665.0,602.0,978.0,1146.0,563.0,775.0,564.0,939.0,232.0,194.0,769.0,648.0,495.0,527.0,605.0,421.0
Week 14,682.0,646.5,430.0,650.0,732.0,442.0,759.0,873.0,838.0,926.0,778.0,602.0,1036.0,1146.0,605.0,980.0,599.0,939.0,232.0,194.0,816.0,648.0,547.0,527.0,716.0,458.0
Week 15,757.0,646.5,483.0,668.0,791.0,442.0,759.0,891.0,864.0,1017.0,812.0,676.0,1094.0,1316.0,665.0,1069.0,657.0,939.0,232.0,194.0,868.0,671.0,633.0,537.0,769.0,490.0
Week 16,767.0,749.5,539.0,720.0,791.0,442.0,759.0,984.0,893.0,1143.0,812.0,710.0,1159.0,1424.0,710.0,1069.0,723.0,939.0,232.0,194.0,905.0,688.0,672.0,554.0,765.0,517.0
Week 17,767.0,784.5,592.0,752.0,849.0,442.0,878.0,1172.0,893.0,1201.0,812.0,719.0,1205.0,1532.0,774.0,1082.0,799.0,939.0,232.0,194.0,921.0,688.0,782.0,554.0,808.0,517.0
Week 18,767.0,807.5,592.0,898.0,913.0,442.0,963.0,1200.0,1039.0,1259.0,812.0,719.0,1205.0,1609.0,846.0,1161.0,799.0,939.0,232.0,215.0,1008.0,688.0,870.0,554.0,918.0,517.0
